"measureKey";"measureName";"systemName";"entityName";"entityType";"entityId";"value"
"ratioOfEndpointsSupportingSsl";"Ratio of endpoints that support SSL";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0"
"ratioOfExternalEndpointsSupportingTls";"Ratio of external endpoints that support TLS";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0"
"ratioOfSecuredLinks";"Ratio of secured links";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0"
"secretsExternalization";"Secrets Externalization";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"n/a"
"secretsStoredInVault";"Secrets stored in vault";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"n/a"
"accessRestrictedToCallers";"Access restricted to callers";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0"
"ratioOfEndpointsThatSupportTokenBasedAuthentication";"Ratio of endpoints that support token-based authentication ";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0"
"ratioOfEndpointsThatSupportApiKeys";"Ratio of endpoints that support API Keys";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0"
"ratioOfEndpointsThatSupportPlaintextAuthentication";"Ratio of endpoints that support plaintext authentication";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0"
"ratioOfEndpointsThatAreIncludedInASingleSignOnApproach";"Ratio of endpoints that are included in an single-sign-on approach";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0"
"iendpointAccessMethodsConsistency";"Consistency of supported authentication methods of endpoints";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"n/a"
"externalEndpointAccessConsistency";"Consistency of supported authentication methods of external endpoints";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"n/a"
"ratioOfUniqueAccountUsage";"Ratio of unique account usage";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0.09090909090909091"
"ratioOfDelegatedAuthentication";"Ratio of delegated authentication";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0"
"dataAggregateScope";"Data aggregate scope";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"5"
"cohesionBetweenEndpointsBasedOnDataAggregateUsage";"Cohesion between Endpoints based on data aggregate usage";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0.17858579329167562"
"serviceInterfaceUsageCohesion";"Service Interface Usage Cohesion";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0.5479166666666666"
"readWriteSeparationForDataAggregates";"Read Write Separation for Data Aggregates";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0.5"
"externallyAvailableEndpoints";"Externally available endpoints";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"16"
"ratioOfRequestTracesThroughGateway";"Ratio of request traces through a gateway";"teastore-private-nlb-withfailures-nocaching-model";"teastore-private-nlb-withfailures-nocaching-model";"system";"4";"0"
